InvoiceId	InvoiceDate	BillingAddress	Total	CustomerName
1	2009-01-01 00:00:00	Theodor-Heuss-Straße 34 Stuttgart  Germany 70174	1.98	Leonie Köhler
2	2009-01-02 00:00:00	Ullevålsveien 14 Oslo  Norway 0171	3.96	Bjørn Hansen
3	2009-01-03 00:00:00	Grétrystraat 63 Brussels  Belgium 1000	5.94	Daan Peeters
4	2009-01-06 00:00:00	8210 111 ST NW Edmonton AB Canada T6G 2C7	8.91	Mark Philips
5	2009-01-11 00:00:00	69 Salem Street Boston MA USA 2113	13.86	John Gordon
6	2009-01-19 00:00:00	Berger Straße 10 Frankfurt  Germany 60316	0.99	Fynn Zimmermann
7	2009-02-01 00:00:00	Barbarossastraße 19 Berlin  Germany 10779	1.98	Niklas Schröder
8	2009-02-01 00:00:00	8, Rue Hanovre Paris  France 75002	1.98	Dominique Lefebvre
9	2009-02-02 00:00:00	9, Place Louis Barthou Bordeaux  France 33000	3.96	Wyatt Girard
10	2009-02-03 00:00:00	3 Chatham Street Dublin Dublin Ireland 	5.94	Hugh O'Reilly
11	2009-02-06 00:00:00	202 Hoxton Street London  United Kingdom N1 5LH	8.91	Emma Jones
12	2009-02-11 00:00:00	Theodor-Heuss-Straße 34 Stuttgart  Germany 70174	13.86	Leonie Köhler
13	2009-02-19 00:00:00	1600 Amphitheatre Parkway Mountain View CA USA 94043-1351	0.99	Frank Harris
14	2009-03-04 00:00:00	1 Microsoft Way Redmond WA USA 98052-8300	1.98	Jack Smith
15	2009-03-04 00:00:00	1 Infinite Loop Cupertino CA USA 95014	1.98	Tim Goyer
16	2009-03-05 00:00:00	801 W 4th Street Reno NV USA 89503	3.96	Kathy Chase
17	2009-03-06 00:00:00	319 N. Frances Street Madison WI USA 53703	5.94	Victor Stevens
18	2009-03-09 00:00:00	194A Chain Lake Drive Halifax NS Canada B3S 1C5	8.91	Martha Silk
19	2009-03-14 00:00:00	8, Rue Hanovre Paris  France 75002	13.86	Dominique Lefebvre
20	2009-03-22 00:00:00	110 Raeburn Pl Edinburgh   United Kingdom EH4 1HH	0.99	Steve Murray
21	2009-04-04 00:00:00	421 Bourke Street Sidney NSW Australia 2010	1.98	Mark Taylor
22	2009-04-04 00:00:00	Calle Lira, 198 Santiago  Chile 	1.98	Luis Rojas
